,1x1,2x2,4x4,8x8,16x16,32x32
copy,62.292278,18.300449,5.997459,2.512246,1.504013,1.426784
mirror,54.706902,16.634087,5.763898,2.228768,1.396669,1.173321
linearTransform,67.276894,19.221136,6.222739,2.494093,1.462691,1.409568
bw,63.422352,18.164242,5.999223,2.471626,1.488346,1.403287
sobel,86.887222,26.945263,9.623526,3.852304,2.313027,1.961094
