,1x1,2x2,4x4,8x8,16x16,32x32
copy,216.022339,58.995777,16.317982,6.136541,5.425741,5.621536
mirror,196.935394,53.152485,14.626927,4.813652,3.973494,3.975344
linearTransform,238.340210,63.949837,17.671511,6.319940,5.451293,5.610089
bw,221.449371,60.079845,16.690395,6.120800,5.408166,5.594707
sobel,342.769867,96.448730,32.643913,13.089366,8.361424,7.433079
