,1x1,2x2,4x4,8x8,16x16,32x32
copy,54.096413,14.818071,4.103152,1.565626,1.365514,1.399155
mirror,49.244774,13.346332,3.872259,1.260528,0.977658,0.992282
linearTransform,59.608643,16.085672,4.415990,1.595315,1.354365,1.381936
bw,55.688519,14.988680,4.190044,1.542073,1.343440,1.371751
sobel,85.732376,24.047796,8.167005,3.286509,2.102214,1.879117
