,1x1,2x2,4x4,8x8,16x16,32x32
copy,13.609705,3.730845,1.072528,0.426982,0.355546,0.346826
mirror,12.339197,3.539149,0.978349,0.326736,0.261149,0.254752
linearTransform,14.975062,4.017380,1.142685,0.425120,0.337283,0.327219
bw,13.938090,3.781792,1.075197,0.407379,0.331696,0.325802
sobel,21.424246,6.066268,2.053917,0.840288,0.540541,0.484314
