,1x1,2x2,4x4,8x8,16x16,32x32
copy,277.893616,72.070374,23.869215,9.95478,5.899747,5.683344
mirror,254.4655,65.675064,21.418697,9.002668,5.563104,4.552522
linearTransform,311.981598,75.766106,24.750965,9.911276,5.79343,5.669415
bw,288.422485,72.345451,23.910234,9.877872,5.9052,5.661607
sobel,390.495911,108.485374,37.835369,15.355906,9.207776,7.754067
